epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3100.25,1.41487,1.0645,1.17682,0.74891,0.74681,0.75312,0.33355,1.35645,15.2378,1.00061,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3305.11,1.4253,1.07549,1.17714,0.71075,0.68989,0.69237,0.30285,1.3791,16.0867,1.01947,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3503.41,1.43385,1.0769,1.18124,0.74509,0.76127,0.7625,0.32743,1.38406,14.2625,1.02203,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3698.97,1.4214,1.07365,1.17237,0.75842,0.73451,0.74314,0.31793,1.39456,10.7834,1.05335,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3889.59,1.41763,1.06298,1.1693,0.78224,0.75453,0.77691,0.35676,1.33431,15.2994,0.97685,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4086.01,1.42131,1.06149,1.16664,0.72151,0.77172,0.7503,0.31099,1.36763,16.3366,1.0095,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4272.51,1.42317,1.06552,1.17209,0.72903,0.75996,0.75387,0.33203,1.37205,13.8576,1.02306,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,4459.97,1.40229,1.05973,1.16752,0.72308,0.73012,0.72387,0.29503,1.40013,15.9563,1.0258,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4643,1.40471,1.06356,1.16513,0.79291,0.77335,0.77948,0.3279,1.38906,14.076,1.02255,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4822.56,1.40483,1.0566,1.16699,0.76961,0.7821,0.76801,0.33526,1.36799,12.9753,1.01884,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,5009.46,1.39461,1.05017,1.16112,0.74113,0.78804,0.77492,0.34466,1.34341,18.3092,0.99845,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,5195.51,1.39561,1.03494,1.1543,0.76591,0.7544,0.77347,0.34251,1.36015,17.2081,1.00568,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,5392.2,1.39395,1.03247,1.15656,0.71085,0.75734,0.74393,0.34721,1.36305,20.1194,1.01851,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5587.5,1.38182,1.02346,1.15774,0.73196,0.76595,0.75672,0.34444,1.37668,15.8582,1.01092,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,5775.55,1.39551,1.03471,1.1543,0.74131,0.75071,0.76893,0.34163,1.3528,14.349,1.00228,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,5962.55,1.39445,1.04093,1.15894,0.74325,0.76659,0.76029,0.33644,1.37691,16.4206,1.01368,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,6147.89,1.38383,1.01322,1.15221,0.76958,0.75759,0.7857,0.35809,1.35362,13.8593,1.0054,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,6343.76,1.38359,1.01648,1.14829,0.74942,0.75873,0.76857,0.34386,1.34741,15.8424,0.99851,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,6540.44,1.38803,1.0273,1.14937,0.75205,0.74818,0.76688,0.32923,1.39326,17.1826,1.02606,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,6726.74,1.36783,1.00624,1.1474,0.78,0.77591,0.77897,0.34505,1.3659,15.4255,1.01235,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,6908.85,1.36432,1.00844,1.14451,0.74627,0.74216,0.75534,0.33774,1.39823,16.7785,1.03641,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,7091.68,1.37388,1.00496,1.14812,0.72533,0.76118,0.75499,0.33901,1.38923,17.4179,1.01909,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,7274.66,1.37208,1.01499,1.14905,0.77137,0.76857,0.76565,0.33379,1.39073,14.527,1.02669,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
