epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2183.26,0.70858,0.68607,1.2843,0.8822,0.90613,0.91075,0.58008,1.25674,0.76798,1.62254,0.0015941,0.0015941,0.0015941
43,2232.97,0.67974,0.66429,1.24742,0.93988,0.86833,0.93545,0.59034,1.19857,0.71642,1.57161,0.0015842,0.0015842,0.0015842
44,2283.31,0.69922,0.68816,1.26859,0.92787,0.86982,0.92078,0.58488,1.23071,0.72906,1.60706,0.0015743,0.0015743,0.0015743
45,2335,0.70626,0.68217,1.2772,0.86957,0.91815,0.91636,0.57448,1.25353,0.74212,1.61522,0.0015644,0.0015644,0.0015644
46,2386.14,0.68947,0.68122,1.25626,0.91571,0.88612,0.92397,0.58121,1.26589,0.7456,1.64038,0.0015545,0.0015545,0.0015545
47,2435.88,0.68288,0.67427,1.2651,0.90378,0.90391,0.93251,0.60545,1.23142,0.70994,1.64471,0.0015446,0.0015446,0.0015446
48,2487.13,0.68096,0.66273,1.25529,0.90348,0.88256,0.91273,0.566,1.30454,0.76949,1.71899,0.0015347,0.0015347,0.0015347
49,2538.78,0.67993,0.66856,1.25601,0.93047,0.90036,0.93155,0.58958,1.26009,0.74559,1.66416,0.0015248,0.0015248,0.0015248
50,2587.06,0.67225,0.66899,1.2535,0.90323,0.87189,0.92307,0.59231,1.23253,0.73326,1.6431,0.0015149,0.0015149,0.0015149
51,2636.99,0.66742,0.66127,1.25048,0.91406,0.90848,0.93648,0.62915,1.13488,0.68945,1.52843,0.001505,0.001505,0.001505
52,2687.64,0.65828,0.64518,1.24015,0.94455,0.88968,0.9338,0.62212,1.17756,0.68981,1.54265,0.0014951,0.0014951,0.0014951
53,2738.31,0.65504,0.64685,1.24183,0.92467,0.90747,0.93979,0.60158,1.21609,0.7039,1.58836,0.0014852,0.0014852,0.0014852
54,2787.91,0.67044,0.65708,1.25106,0.90236,0.89324,0.92805,0.5933,1.18523,0.69853,1.57349,0.0014753,0.0014753,0.0014753
55,2839.26,0.65637,0.64917,1.24311,0.91891,0.90747,0.94128,0.60946,1.19696,0.68807,1.55527,0.0014654,0.0014654,0.0014654
56,2890.08,0.67367,0.65335,1.25205,0.87651,0.91815,0.93196,0.59697,1.18265,0.73518,1.55776,0.0014555,0.0014555,0.0014555
57,2939.56,0.65689,0.64344,1.24011,0.91011,0.86833,0.92392,0.59647,1.21705,0.71702,1.61226,0.0014456,0.0014456,0.0014456
58,2988.19,0.65399,0.63848,1.24207,0.91974,0.89721,0.93851,0.59746,1.24284,0.70437,1.63528,0.0014357,0.0014357,0.0014357
59,3039.57,0.641,0.62096,1.22249,0.94047,0.88256,0.92949,0.59594,1.19629,0.71545,1.60954,0.0014258,0.0014258,0.0014258
60,3090.43,0.62678,0.62442,1.21603,0.93998,0.89175,0.94385,0.61047,1.18245,0.68734,1.59546,0.0014159,0.0014159,0.0014159
61,3139.66,0.63433,0.62234,1.22883,0.9261,0.8919,0.91533,0.5901,1.20468,0.70588,1.62279,0.001406,0.001406,0.001406
62,3190.64,0.64108,0.64017,1.23159,0.90527,0.91825,0.92415,0.59211,1.21453,0.69391,1.63294,0.0013961,0.0013961,0.0013961
63,3241.09,0.6329,0.61837,1.22494,0.90079,0.90391,0.92849,0.59702,1.19612,0.72058,1.596,0.0013862,0.0013862,0.0013862
64,3291.79,0.63318,0.62349,1.22569,0.92956,0.90036,0.91841,0.58684,1.20487,0.71174,1.6084,0.0013763,0.0013763,0.0013763
65,3340.34,0.61676,0.60234,1.20674,0.90479,0.8968,0.93511,0.59956,1.18812,0.67351,1.60973,0.0013664,0.0013664,0.0013664
66,3390.7,0.62155,0.60985,1.21272,0.93333,0.90036,0.93558,0.6104,1.18355,0.66586,1.58844,0.0013565,0.0013565,0.0013565
67,3440.93,0.64055,0.6354,1.23364,0.8953,0.89324,0.91046,0.59085,1.19666,0.71485,1.61431,0.0013466,0.0013466,0.0013466
68,3489.95,0.62246,0.6105,1.21382,0.88637,0.90747,0.91273,0.58664,1.23664,0.72927,1.63483,0.0013367,0.0013367,0.0013367
69,3540.06,0.62981,0.62593,1.21908,0.9281,0.90391,0.9295,0.59069,1.2045,0.69619,1.64178,0.0013268,0.0013268,0.0013268
70,3590.72,0.6266,0.61253,1.21672,0.89915,0.91103,0.94242,0.60009,1.21129,0.71223,1.64838,0.0013169,0.0013169,0.0013169
71,3639.31,0.62108,0.61302,1.21013,0.91676,0.90747,0.93722,0.60299,1.21874,0.69681,1.64642,0.001307,0.001307,0.001307
72,3688.94,0.62033,0.61613,1.21169,0.9049,0.90391,0.92511,0.59702,1.2121,0.71719,1.63445,0.0012971,0.0012971,0.0012971
73,3739.71,0.61079,0.60822,1.20454,0.92253,0.88988,0.91376,0.57457,1.19595,0.68577,1.65492,0.0012872,0.0012872,0.0012872
74,3789.42,0.61688,0.60832,1.20976,0.93267,0.8873,0.92712,0.59677,1.21348,0.69827,1.65677,0.0012773,0.0012773,0.0012773
75,3838.5,0.60297,0.58123,1.19687,0.9366,0.88256,0.93345,0.61317,1.18186,0.67954,1.59816,0.0012674,0.0012674,0.0012674
76,3888.89,0.62095,0.60694,1.21561,0.92687,0.90205,0.92467,0.58922,1.19376,0.67195,1.63573,0.0012575,0.0012575,0.0012575
77,3940.31,0.59604,0.5858,1.19579,0.93249,0.88485,0.92176,0.59069,1.21814,0.70535,1.67321,0.0012476,0.0012476,0.0012476
78,3990.35,0.60618,0.59782,1.19989,0.9295,0.89324,0.92866,0.58496,1.19796,0.7061,1.61775,0.0012377,0.0012377,0.0012377
79,4040.71,0.60246,0.59992,1.20461,0.92208,0.87189,0.92692,0.59008,1.22501,0.71062,1.67304,0.0012278,0.0012278,0.0012278
80,4091.18,0.60108,0.59637,1.20106,0.95039,0.88612,0.93546,0.60325,1.21465,0.71633,1.65691,0.0012179,0.0012179,0.0012179
81,4140.4,0.60254,0.60109,1.20818,0.93985,0.88256,0.92714,0.60259,1.19261,0.68222,1.61974,0.001208,0.001208,0.001208
82,4189.79,0.6147,0.60266,1.20997,0.91806,0.88968,0.92719,0.60103,1.17838,0.69018,1.61058,0.0011981,0.0011981,0.0011981
83,4239.04,0.59711,0.5868,1.19791,0.92805,0.8968,0.91435,0.58235,1.19856,0.68433,1.67351,0.0011882,0.0011882,0.0011882
84,4290.1,0.58348,0.58534,1.19159,0.93775,0.85771,0.92109,0.59234,1.17616,0.70251,1.62591,0.0011783,0.0011783,0.0011783
85,4340.22,0.58992,0.59123,1.19557,0.93233,0.88259,0.93825,0.58815,1.20437,0.68503,1.67301,0.0011684,0.0011684,0.0011684
86,4389.92,0.59122,0.58156,1.19047,0.92179,0.90036,0.91906,0.59138,1.24924,0.68702,1.71882,0.0011585,0.0011585,0.0011585
87,4440.86,0.58874,0.59358,1.19115,0.96546,0.85765,0.94027,0.60996,1.19355,0.67745,1.61734,0.0011486,0.0011486,0.0011486
88,4489.57,0.58611,0.58458,1.19508,0.91744,0.88612,0.93046,0.59133,1.17581,0.71756,1.61485,0.0011387,0.0011387,0.0011387
89,4539.51,0.58799,0.58402,1.18855,0.9329,0.89063,0.93429,0.60022,1.1637,0.6916,1.61053,0.0011288,0.0011288,0.0011288
90,4589.9,0.57826,0.58126,1.18737,0.92463,0.88256,0.92809,0.58552,1.23909,0.72607,1.67686,0.0011189,0.0011189,0.0011189
91,4640.01,0.58078,0.57778,1.18813,0.93921,0.87976,0.9318,0.59815,1.20884,0.69262,1.66348,0.001109,0.001109,0.001109
92,4689.56,0.58628,0.58135,1.19009,0.93786,0.89324,0.92902,0.58942,1.21031,0.6987,1.65582,0.0010991,0.0010991,0.0010991
93,4739.14,0.56289,0.55827,1.17115,0.90351,0.90747,0.92641,0.59068,1.19777,0.69518,1.63686,0.0010892,0.0010892,0.0010892
94,4791.14,0.59045,0.58677,1.19735,0.92115,0.873,0.91742,0.59786,1.19917,0.6976,1.64441,0.0010793,0.0010793,0.0010793
95,4839.99,0.57883,0.57151,1.18326,0.92136,0.9173,0.93982,0.61628,1.18614,0.67384,1.65103,0.0010694,0.0010694,0.0010694
96,4890.41,0.58737,0.57286,1.19444,0.91936,0.90747,0.92967,0.60343,1.2076,0.70611,1.67541,0.0010595,0.0010595,0.0010595
97,4939.45,0.58092,0.5786,1.19075,0.94303,0.87544,0.93671,0.60041,1.20032,0.70724,1.64316,0.0010496,0.0010496,0.0010496
98,4988.15,0.56765,0.56736,1.17235,0.91786,0.87489,0.91849,0.59284,1.20062,0.69879,1.66895,0.0010397,0.0010397,0.0010397
99,5037.8,0.57943,0.57265,1.18032,0.92018,0.90036,0.93826,0.6025,1.20241,0.6952,1.64126,0.0010298,0.0010298,0.0010298
100,5085.56,0.55949,0.5558,1.1731,0.93079,0.9093,0.92842,0.609,1.19978,0.68566,1.65766,0.0010199,0.0010199,0.0010199
101,5133.72,0.56568,0.56535,1.18432,0.91105,0.91126,0.9381,0.6056,1.22126,0.69793,1.67254,0.00101,0.00101,0.00101
